DATE,TMAX,TMIN,PRCP,SNWD,SNOW
1948-06-01,200,133,0,0,0
1948-06-02,250,106,0,0,0
1948-06-03,222,122,0,0,0
1948-06-04,244,122,0,0,0
1948-06-05,194,106,130,0,0
1948-06-06,239,89,0,0,0
1948-06-07,194,128,97,0,0
1948-06-08,200,128,74,0,0
1948-06-09,128,100,15,0,0
1948-06-10,161,100,0,0,0
1948-06-11,206,128,0,0,0
1948-06-12,206,128,3,0,0
1948-06-13,144,117,203,0,0
1948-06-14,278,122,0,0,0
1948-06-15,250,128,0,0,0
1948-06-16,250,133,0,0,0
1948-06-17,267,128,10,0,0
1948-06-18,261,122,0,0,0
1948-06-19,189,139,269,0,0
1948-06-20,272,128,0,0,0
1948-06-21,289,156,0,0,0
1948-06-22,261,144,0,0,0
1948-06-23,200,128,33,0,0
1948-06-24,311,144,56,0,0
1948-06-25,317,217,0,0,0
1948-06-26,256,161,0,0,0
1948-06-27,217,150,0,0,0
1948-06-28,317,178,0,0,0
1948-06-29,350,211,0,0,0
1948-06-30,339,211,0,0,0
1948-07-01,289,194,107,0,0
1948-07-02,278,167,0,0,0
1948-07-03,283,167,0,0,0
1948-07-04,322,178,0,0,0
1948-07-05,311,172,155,0,0
1948-07-06,311,144,157,0,0
1948-07-07,250,128,0,0,0
1948-07-08,294,144,0,0,0
1948-07-09,317,172,0,0,0
1948-07-10,317,200,0,0,0
1948-07-11,344,206,0,0,0
1948-07-12,356,222,0,0,0
1948-07-13,317,222,107,0,0
1948-07-14,256,189,71,0,0
1948-07-15,283,161,0,0,0
1948-07-16,294,156,0,0,0
1948-07-17,272,161,0,0,0
1948-07-18,317,206,0,0,0
1948-07-19,311,206,0,0,0
1948-07-20,311,194,0,0,0
1948-07-21,333,206,0,0,0
1948-07-22,306,189,3,0,0
1948-07-23,261,172,277,0,0
1948-07-24,283,156,0,0,0
1948-07-25,289,161,0,0,0
1948-07-26,306,183,0,0,0
1948-07-27,311,222,8,0,0
1948-07-28,317,217,419,0,0
1948-07-29,317,189,0,0,0
1948-07-30,333,200,0,0,0
1948-07-31,333,233,0,0,0
1948-08-01,261,206,0,0,0
1948-08-02,311,211,0,0,0
1948-08-03,289,189,0,0,0
1948-08-04,278,206,0,0,0
1948-08-05,250,183,0,0,0
1948-08-06,256,156,0,0,0
1948-08-07,250,144,0,0,0
1948-08-08,272,144,0,0,0
1948-08-09,283,156,0,0,0
1948-08-10,289,144,0,0,0
1948-08-11,294,144,0,0,0
1948-08-12,250,194,429,0,0
1948-08-13,278,189,5,0,0
1948-08-14,272,172,0,0,0
1948-08-15,300,167,0,0,0
1948-08-16,294,161,0,0,0
1948-08-17,289,150,81,0,0
1948-08-18,244,139,0,0,0
1948-08-19,256,139,0,0,0
1948-08-20,267,167,0,0,0
1948-08-21,289,150,0,0,0
1948-08-22,267,161,0,0,0
1948-08-23,272,189,0,0,0
1948-08-24,306,178,0,0,0
1948-08-25,356,217,0,0,0
1948-08-26,389,256,0,0,0
1948-08-27,383,250,0,0,0
1948-08-28,378,250,0,0,0
1948-08-29,350,244,0,0,0
1948-08-30,278,189,30,0,0
1948-08-31,217,150,0,0,0
1948-09-01,239,117,0,0,0
1948-09-02,250,117,0,0,0
1948-09-03,256,150,0,0,0
1948-09-04,267,156,13,0,0
1948-09-05,300,161,0,0,0
1948-09-06,300,183,0,0,0
1948-09-07,289,161,0,0,0
1948-09-08,294,156,0,0,0
1948-09-09,272,128,0,0,0
1948-09-10,267,172,13,0,0
1948-09-11,250,156,0,0,0
1948-09-12,300,150,0,0,0
1948-09-13,322,183,0,0,0
1948-09-14,261,144,0,0,0
1948-09-15,222,111,0,0,0
1948-09-16,200,83,0,0,0
1948-09-17,206,61,0,0,0
1948-09-18,311,172,191,0,0
1948-09-19,256,167,0,0,0
1948-09-20,222,167,335,0,0
1948-09-21,206,111,0,0,0
1948-09-22,200,72,0,0,0
1948-09-23,189,78,0,0,0
1948-09-24,156,83,0,0,0
1948-09-25,206,78,0,0,0
1948-09-26,233,67,0,0,0
1948-09-27,267,94,0,0,0
1948-09-28,283,117,0,0,0
1948-09-29,261,133,0,0,0
1948-09-30,278,139,48,0,0
1948-10-01,283,178,119,0,0
1948-10-02,267,133,0,0,0
1948-10-03,172,61,0,0,0
1948-10-04,150,39,0,0,0
1948-10-05,150,39,0,0,0
1948-10-06,189,94,0,0,0
1948-10-07,194,100,0,0,0
1948-10-08,200,117,119,0,0
1948-10-09,211,106,0,0,0
1948-10-10,217,106,0,0,0
1948-10-11,211,150,114,0,0
1948-10-12,217,150,218,0,0
1948-10-13,194,111,0,0,0
1948-10-14,150,83,23,0,0
1948-10-15,172,56,0,0,0
1948-10-16,183,28,0,0,0
1948-10-17,222,106,0,0,0
1948-10-18,178,17,8,0,0
1948-10-19,117,0,0,0,0
1948-10-20,111,17,13,0,0
1948-10-21,94,11,0,0,0
1948-10-22,122,-17,0,0,0
1948-10-23,128,28,0,0,0
1948-10-24,100,67,396,0,0
1948-10-25,100,78,216,0,0
1948-10-26,139,72,5,0,0
1948-10-27,183,61,0,0,0
1948-10-28,194,33,0,0,0
1948-10-29,144,56,0,0,0
1948-10-30,178,33,0,0,0
1948-10-31,239,72,0,0,0
1948-11-01,133,39,0,0,0
1948-11-02,122,11,0,0,0
1948-11-03,150,6,46,0,0
1948-11-04,178,122,160,0,0
1948-11-05,200,144,0,0,0
1948-11-06,222,144,0,0,0
1948-11-07,194,106,48,0,0
1948-11-08,178,61,0,0,0
1948-11-09,172,39,0,0,0
1948-11-10,206,117,274,0,0
1948-11-11,133,61,15,0,0
1948-11-12,139,44,0,0,0
1948-11-13,133,72,33,0,0
1948-11-14,117,39,0,0,0
1948-11-15,144,50,0,0,0
1948-11-16,117,39,0,0,0
1948-11-17,139,72,10,0,0
1948-11-18,161,56,0,0,0
1948-11-19,161,28,56,0,0
1948-11-20,200,67,338,0,0
1948-11-21,133,56,0,0,0
1948-11-22,100,44,64,0,0
1948-11-23,94,72,28,0,0
1948-11-24,89,67,36,0,0
1948-11-25,89,44,0,0,0
1948-11-26,111,50,0,0,0
1948-11-27,139,67,46,0,0
1948-11-28,100,33,0,0,0
1948-11-29,67,-11,117,0,0
1948-11-30,72,-22,0,0,0
1948-12-01,94,-6,0,0,0
1948-12-02,89,0,0,0,0
1948-12-03,106,44,0,0,0
1948-12-04,94,44,0,0,0
1948-12-05,122,22,0,0,0
1948-12-06,150,61,8,0,0
1948-12-07,156,44,5,0,0
1948-12-08,133,28,0,0,0
1948-12-09,44,0,0,0,0
1948-12-10,50,0,0,0,0
1948-12-11,39,-28,0,0,0
1948-12-12,122,11,51,0,0
1948-12-13,133,56,5,0,0
1948-12-14,83,-11,20,0,0
1948-12-15,11,-28,58,25,66
1948-12-16,44,-11,56,0,0
1948-12-17,83,-6,5,0,0
1948-12-18,22,-28,0,0,0
1948-12-19,0,-61,203,102,224
1948-12-20,6,-50,33,229,48
1948-12-21,22,-67,3,203,3
1948-12-22,78,11,0,127,0
1948-12-23,44,-28,0,102,0
1948-12-24,-28,-100,0,102,0
1948-12-25,-61,-128,0,0,0
1948-12-26,-61,-133,0,102,0
1948-12-27,0,-139,0,76,0
1948-12-28,56,-33,0,76,0
1948-12-29,122,-61,61,51,0
1948-12-30,133,100,8,0,0
1948-12-31,144,22,69,0,0
1949-01-01,22,-6,0,0,0
1949-01-02,17,-11,0,0,0
1949-01-03,44,-22,0,0,0
1949-01-04,50,-17,0,0,0
1949-01-05,128,17,122,0,0
1949-01-06,150,33,180,0,0
1949-01-07,100,22,0,0,0
1949-01-08,144,44,0,0,0
1949-01-09,83,17,0,0,0
1949-01-10,78,39,0,0,0
1949-01-11,39,-28,0,0,0
1949-01-12,22,-56,0,0,0
1949-01-13,44,-11,0,0,0
1949-01-14,67,-50,0,0,0
1949-01-15,0,-89,0,0,0
1949-01-16,117,-28,0,0,0
1949-01-17,128,50,0,0,0
1949-01-18,50,6,0,0,0
1949-01-19,156,44,23,0,0
1949-01-20,56,-39,0,0,0
1949-01-21,6,-72,89,25,43
1949-01-22,83,0,193,0,0
1949-01-23,39,-17,0,0,0
1949-01-24,94,0,48,0,0
1949-01-25,83,-17,0,0,0
1949-01-26,-17,-50,69,51,69
1949-01-27,-11,-56,3,51,0
1949-01-28,-67,-17,107,0,23
1949-01-29,89,-50,0,0,0
1949-01-30,-11,-94,0,0,0
1949-01-31,39,-50,241,102,127
1949-02-01,22,-33,0,76,0
1949-02-02,-6,-67,0,51,0
1949-02-03,11,-89,0,25,0
1949-02-04,22,-22,94,76,41
1949-02-05,33,-67,0,25,0
1949-02-06,22,-89,0,0,0
1949-02-07,72,-33,168,0,0
1949-02-08,83,-39,0,0,0
1949-02-09,156,22,0,0,0
1949-02-10,22,-11,61,0,58
1949-02-11,17,-106,25,76,25
1949-02-12,39,-133,0,0,0
1949-02-13,167,39,0,0,0
1949-02-14,150,61,0,0,0
1949-02-15,183,56,5,0,0
1949-02-16,144,6,53,0,13
1949-02-17,28,-39,36,0,0
1949-02-18,67,-61,0,0,0
1949-02-19,167,50,0,0,0
1949-02-20,89,17,140,0,0
1949-02-21,22,-39,0,0,0
1949-02-22,50,-39,94,0,0
1949-02-23,111,22,69,0,0
1949-02-24,106,0,0,0,0
1949-02-25,72,22,15,0,0
1949-02-26,61,-28,0,0,0
1949-02-27,89,-61,0,0,0
1949-02-28,33,-33,170,51,152
1949-03-01,17,-33,79,152,64
1949-03-02,50,-44,0,102,0
1949-03-03,56,-44,0,51,0
1949-03-04,39,-67,0,25,0
1949-03-05,128,6,0,0,0
1949-03-06,156,39,3,0,3
1949-03-07,50,-22,0,0,0
1949-03-08,33,-72,0,0,0
1949-03-09,133,-6,0,0,0
1949-03-10,50,17,0,0,0
1949-03-11,33,11,152,25,20
1949-03-12,39,-11,0,0,0
1949-03-13,28,-44,0,0,0
1949-03-14,106,-17,0,0,0
1949-03-15,83,-28,0,0,0
1949-03-16,22,-61,0,0,0
1949-03-17,61,-28,0,0,0
1949-03-18,33,-39,208,203,203
1949-03-19,-22,-94,0,178,0
1949-03-20,11,-122,0,102,0
1949-03-21,111,-33,0,0,0
1949-03-22,183,78,0,0,0
1949-03-23,156,78,147,0,0
1949-03-24,156,44,0,0,0
1949-03-25,133,17,0,0,0
1949-03-26,167,72,0,0,0
1949-03-27,222,94,0,0,0
1949-03-28,206,111,0,0,0
1949-03-29,189,67,0,0,0
1949-03-30,156,72,0,0,0
1949-03-31,89,50,0,0,0
1949-04-01,106,22,0,0,0
1949-04-02,156,22,0,0,0
1949-04-03,117,44,0,0,0
1949-04-04,83,56,114,0,0
1949-04-05,161,39,0,0,0
1949-04-06,128,61,551,0,0
1949-04-07,167,83,0,0,0
1949-04-08,133,56,69,0,0
1949-04-09,89,39,0,0,0
1949-04-10,161,33,0,0,0
1949-04-11,183,44,0,0,0
1949-04-12,206,39,0,0,0
1949-04-13,211,72,13,0,0
1949-04-14,217,111,152,0,0
1949-04-15,161,94,30,0,0
1949-04-16,150,33,0,0,0
1949-04-17,89,39,0,0,0
1949-04-18,111,39,74,0,0
1949-04-19,172,50,251,0,0
1949-04-20,172,44,0,0,0
1949-04-21,256,83,0,0,0
1949-04-22,206,106,36,0,0
1949-04-23,228,100,18,0,0
1949-04-24,178,67,0,0,0
1949-04-25,150,11,0,0,0
1949-04-26,172,78,0,0,0
1949-04-27,250,128,5,0,0
1949-04-28,139,56,0,0,0
1949-04-29,167,28,0,0,0
1949-04-30,239,94,0,0,0
1949-05-01,272,111,0,0,0
1949-05-02,250,133,56,0,0
1949-05-03,228,144,76,0,0
1949-05-04,283,133,0,0,0
1949-05-05,344,178,0,0,0
1949-05-06,239,144,3,0,0
1949-05-07,289,111,0,0,0
1949-05-08,222,89,0,0,0
1949-05-09,233,100,0,0,0
1949-05-10,167,78,28,0,0
1949-05-11,139,67,0,0,0
1949-05-12,89,72,8,0,0
1949-05-13,206,67,0,0,0
1949-05-14,250,83,8,0,0
1949-05-15,183,83,0,0,0
1949-05-16,206,56,0,0,0
1949-05-17,233,78,0,0,0
1949-05-18,289,139,0,0,0
1949-05-19,322,167,0,0,0
1949-05-20,217,67,211,0,0
1949-05-21,200,61,0,0,0
1949-05-22,161,78,330,0,0
1949-05-23,278,139,0,0,0
1949-05-24,239,133,23,0,0
1949-05-25,189,89,104,0,0
1949-05-26,183,67,0,0,0
1949-05-27,122,83,36,0,0
1949-05-28,161,78,0,0,0
1949-05-29,161,72,0,0,0
1949-05-30,189,61,0,0,0
1949-05-31,228,106,0,0,0
1949-06-01,233,117,0,0,0
1949-06-02,239,111,0,0,0
1949-06-03,239,117,0,0,0
1949-06-04,283,133,0,0,0
1949-06-05,294,178,0,0,0
1949-06-06,306,150,0,0,0
1949-06-07,272,133,0,0,0
1949-06-08,194,100,0,0,0
1949-06-09,211,94,0,0,0
1949-06-10,239,106,0,0,0
1949-06-11,283,133,0,0,0
1949-06-12,328,194,0,0,0
1949-06-13,294,194,0,0,0
1949-06-14,294,178,0,0,0
1949-06-15,283,172,0,0,0
1949-06-16,272,183,0,0,0
1949-06-17,278,200,0,0,0
1949-06-18,289,200,0,0,0
1949-06-19,289,200,0,0,0
1949-06-20,311,200,0,0,0
1949-06-21,350,211,0,0,0
1949-06-22,306,200,0,0,0
1949-06-23,294,189,0,0,0
1949-06-24,322,161,0,0,0
1949-06-25,339,200,10,0,0
1949-06-26,339,233,0,0,0
1949-06-27,333,156,0,0,0
1949-06-28,239,150,0,0,0
1949-06-29,267,117,0,0,0
1949-06-30,244,150,0,0,0
1949-07-01,294,139,0,0,0
1949-07-02,300,167,0,0,0
1949-07-03,361,206,0,0,0
1949-07-04,383,217,0,0,0
1949-07-05,333,211,0,0,0
1949-07-06,306,183,0,0,0
1949-07-07,272,178,0,0,0
1949-07-08,283,150,0,0,0
1949-07-09,267,156,0,0,0
1949-07-10,256,178,33,0,0
1949-07-11,294,189,0,0,0
1949-07-12,283,206,0,0,0
1949-07-13,267,200,41,0,0
1949-07-14,311,194,0,0,0
1949-07-15,267,189,0,0,0
1949-07-16,283,183,0,0,0
1949-07-17,228,194,89,0,0
1949-07-18,322,189,15,0,0
1949-07-19,328,233,0,0,0
1949-07-20,350,222,53,0,0
1949-07-21,339,217,8,0,0
1949-07-22,317,211,0,0,0
1949-07-23,306,206,0,0,0
1949-07-24,306,161,0,0,0
1949-07-25,261,183,5,0,0
1949-07-26,300,167,0,0,0
1949-07-27,333,189,0,0,0
1949-07-28,367,239,0,0,0
1949-07-29,361,239,0,0,0
1949-07-30,378,239,0,0,0
1949-07-31,278,211,0,0,0
1949-08-01,283,189,0,0,0
1949-08-02,272,178,56,0,0
1949-08-03,244,200,13,0,0
1949-08-04,244,200,218,0,0
1949-08-05,294,194,0,0,0
1949-08-06,311,189,0,0,0
1949-08-07,311,194,0,0,0
1949-08-08,344,211,0,0,0
1949-08-09,378,244,0,0,0
1949-08-10,378,228,0,0,0
1949-08-11,361,217,168,0,0
1949-08-12,256,206,178,0,0
1949-08-13,239,183,0,0,0
1949-08-14,261,167,0,0,0
1949-08-15,289,167,0,0,0
1949-08-16,267,161,0,0,0
1949-08-17,256,133,0,0,0
1949-08-18,256,167,0,0,0
1949-08-19,256,128,0,0,0
1949-08-20,233,106,0,0,0
1949-08-21,289,128,0,0,0
1949-08-22,294,133,0,0,0
1949-08-23,306,150,0,0,0
1949-08-24,322,172,8,0,0
1949-08-25,278,133,0,0,0
1949-08-26,333,167,0,0,0
1949-08-27,361,206,0,0,0
1949-08-28,339,217,0,0,0
1949-08-29,256,189,180,0,0
1949-08-30,283,161,0,0,0
1949-08-31,283,189,0,0,0
1949-09-01,283,172,163,0,0
1949-09-02,239,111,0,0,0
1949-09-03,250,122,0,0,0
1949-09-04,294,128,0,0,0
1949-09-05,294,172,0,0,0
1949-09-06,244,139,0,0,0
1949-09-07,194,100,0,0,0
1949-09-08,206,111,0,0,0
1949-09-09,189,111,38,0,0
1949-09-10,228,100,0,0,0
1949-09-11,233,89,0,0,0
1949-09-12,222,89,0,0,0
1949-09-13,244,133,5,0,0
1949-09-14,272,200,127,0,0
1949-09-15,256,167,56,0,0
1949-09-16,233,128,0,0,0
1949-09-17,256,128,0,0,0
1949-09-18,278,156,3,0,0
1949-09-19,278,167,0,0,0
1949-09-20,211,111,0,0,0
1949-09-21,228,94,0,0,0
1949-09-22,233,144,165,0,0
1949-09-23,183,106,74,0,0
1949-09-24,194,83,0,0,0
1949-09-25,172,56,0,0,0
1949-09-26,194,39,0,0,0
1949-09-27,189,56,0,0,0
1949-09-28,183,128,180,0,0
1949-09-29,200,150,36,0,0
1949-09-30,206,128,23,0,0
1949-10-01,194,72,0,0,0
1949-10-02,167,44,0,0,0
1949-10-03,183,39,0,0,0
1949-10-04,222,106,0,0,0
1949-10-05,250,111,0,0,0
1949-10-06,217,78,0,0,0
1949-10-07,183,67,0,0,0
1949-10-08,244,156,117,0,0
1949-10-09,206,144,0,0,0
1949-10-10,322,178,0,0,0
1949-10-11,289,167,0,0,0
1949-10-12,278,178,0,0,0
1949-10-13,211,94,0,0,0
1949-10-14,211,67,0,0,0
1949-10-15,161,122,0,0,0
1949-10-16,156,72,0,0,0
1949-10-17,194,61,0,0,0
1949-10-18,178,83,0,0,0
1949-10-19,183,100,0,0,0
1949-10-20,211,89,0,0,0
1949-10-21,222,50,0,0,0
1949-10-22,211,122,0,0,0
1949-10-23,200,94,0,0,0
1949-10-24,144,72,0,0,0
1949-10-25,128,33,13,0,0
1949-10-26,183,78,277,0,0
1949-10-27,133,39,0,0,0
1949-10-28,172,33,0,0,0
1949-10-29,217,122,0,0,0
1949-10-30,183,94,0,0,0
1949-10-31,211,111,97,0,0
1949-11-01,111,67,0,0,0
1949-11-02,133,50,191,0,0
1949-11-03,156,39,23,0,0
1949-11-04,150,50,157,0,0
1949-11-05,100,28,0,0,0
1949-11-06,50,-6,0,0,0
1949-11-07,100,11,0,0,0
1949-11-08,211,61,0,0,0
